account_id,account_number,customer_id,account_type_id,branch_id,opening_date,current_balance,status,last_transaction_date
1,10000000001,1,1,1,2015-04-01,285000.50,Active,2026-07-20
2,10000000002,2,1,4,2016-08-15,142500.75,Active,2026-07-18
3,10000000003,3,1,5,2012-01-26,520000.00,Active,2026-07-22
4,10000000004,4,1,11,2018-03-23,78500.25,Active,2026-07-19
5,10000000005,5,1,8,2014-11-14,315000.00,Active,2026-07-21
6,10000000006,6,1,14,2019-06-18,45200.50,Active,2026-07-17
7,10000000007,7,1,30,2011-04-14,680000.00,Active,2026-07-23
8,10000000008,8,1,16,2020-01-26,28750.00,Active,2026-07-20
9,10000000009,9,4,19,2010-08-15,1250000.00,Active,2026-07-22
10,10000000010,10,1,21,2017-03-08,95000.00,Active,2026-07-18
11,10000000011,11,1,23,2013-10-02,175000.50,Active,2026-07-21
12,10000000012,12,1,26,2018-11-14,62000.00,Active,2026-07-19
13,10000000013,13,4,29,2008-04-01,2100000.00,Active,2026-07-23
14,10000000014,14,1,31,2015-07-23,125000.00,Active,2026-07-20
15,10000000015,15,1,33,2019-02-28,35000.00,Active,2026-07-17
16,10000000016,16,1,34,2021-06-01,22500.00,Active,2026-07-22
17,10000000017,17,1,35,2012-09-15,450000.00,Active,2026-07-21
18,10000000018,18,1,36,2020-04-01,18000.00,Active,2026-07-18
19,10000000019,19,1,37,2014-01-26,280000.00,Active,2026-07-23
20,10000000020,20,1,38,2016-05-27,72000.00,Active,2026-07-19
21,10000000021,21,4,39,2009-11-14,1850000.00,Active,2026-07-22
22,10000000022,22,1,40,2021-08-15,15000.00,Active,2026-07-20
23,10000000023,23,1,41,2013-03-08,195000.00,Active,2026-07-17
24,10000000024,24,1,42,2017-10-31,88000.00,Active,2026-07-21
25,10000000025,25,1,43,2011-01-26,560000.00,Active,2026-07-23
26,10000000026,26,1,44,2015-06-18,135000.00,Active,2026-07-18
27,10000000027,27,1,45,2016-11-14,98000.00,Active,2026-07-22
28,10000000028,28,1,46,2014-04-01,210000.00,Active,2026-07-19
29,10000000029,29,1,47,2018-07-23,52000.00,Active,2026-07-21
30,10000000030,30,1,48,2019-12-31,38000.00,Active,2026-07-20
31,10000000031,31,1,49,2012-02-28,485000.00,Active,2026-07-23
32,10000000032,32,1,50,2020-09-15,25000.00,Active,2026-07-17
33,10000000033,33,1,51,2015-01-26,168000.00,Active,2026-07-22
34,10000000034,34,4,52,2007-08-15,3200000.00,Active,2026-07-18
35,10000000035,35,1,53,2018-04-14,42000.00,Active,2026-07-21
36,10000000036,36,1,54,2016-10-02,115000.00,Active,2026-07-19
37,10000000037,37,1,55,2014-03-23,275000.00,Active,2026-07-23
38,10000000038,38,1,56,2017-06-18,68000.00,Active,2026-07-20
39,10000000039,39,1,57,2015-11-14,185000.00,Active,2026-07-17
40,10000000040,40,1,58,2019-02-28,32000.00,Active,2026-07-22
41,10000000041,41,1,59,2013-07-23,425000.00,Active,2026-07-21
42,10000000042,42,1,60,2021-01-26,19500.00,Active,2026-07-18
43,10000000043,43,4,61,2010-04-14,1450000.00,Active,2026-07-23
44,10000000044,44,1,62,2016-08-15,82000.00,Active,2026-07-19
45,10000000045,45,1,63,2014-12-31,235000.00,Active,2026-07-22
46,10000000046,46,1,64,2018-05-27,58000.00,Active,2026-07-20
47,10000000047,47,1,65,2015-10-02,155000.00,Active,2026-07-17
48,10000000048,48,1,66,2019-06-18,45000.00,Active,2026-07-21
49,10000000049,49,1,67,2012-11-14,380000.00,Active,2026-07-23
50,10000000050,50,1,68,2020-04-01,28000.00,Active,2026-07-18
51,10000000051,51,1,69,2013-08-15,295000.00,Active,2026-07-22
52,10000000052,52,1,70,2016-01-26,105000.00,Active,2026-07-19
53,10000000053,53,1,71,2014-06-18,225000.00,Active,2026-07-21
54,10000000054,54,1,72,2017-11-14,75000.00,Active,2026-07-20
55,10000000055,55,1,73,2011-04-01,620000.00,Active,2026-07-23
56,10000000056,56,1,74,2019-09-15,35500.00,Active,2026-07-17
57,10000000057,57,1,75,2015-02-28,148000.00,Active,2026-07-22
58,10000000058,58,1,76,2018-07-23,55000.00,Active,2026-07-18
59,10000000059,59,1,77,2014-12-31,265000.00,Active,2026-07-21
60,10000000060,60,1,78,2016-05-27,92000.00,Active,2026-07-19
