card_id,card_number,customer_id,card_type_id,credit_limit,available_limit,issue_date,expiry_date,status,billing_cycle_day
1,4532XXXXXXXX0001,1,6,500000.00,425000.00,2022-05-15,2027-05-31,Active,15
2,4532XXXXXXXX0002,3,5,300000.00,265000.00,2021-08-20,2026-08-31,Active,20
3,4532XXXXXXXX0003,5,2,150000.00,128000.00,2023-03-10,2028-03-31,Active,10
4,4532XXXXXXXX0004,7,6,750000.00,680000.00,2020-11-05,2025-11-30,Active,5
5,4532XXXXXXXX0005,9,7,1500000.00,1350000.00,2019-06-22,2024-06-30,Active,22
6,4532XXXXXXXX0006,11,3,100000.00,85000.00,2024-01-08,2029-01-31,Active,8
7,4532XXXXXXXX0007,13,7,2000000.00,1820000.00,2018-04-15,2028-04-30,Active,15
8,4532XXXXXXXX0008,15,1,75000.00,62000.00,2023-09-28,2028-09-30,Active,28
9,4532XXXXXXXX0009,17,5,200000.00,175000.00,2021-12-12,2026-12-31,Active,12
10,4532XXXXXXXX0010,19,8,350000.00,310000.00,2022-07-25,2027-07-31,Active,25
11,4532XXXXXXXX0011,21,6,600000.00,545000.00,2020-02-18,2025-02-28,Active,18
12,4532XXXXXXXX0012,23,3,120000.00,98000.00,2023-05-05,2028-05-31,Active,5
13,4532XXXXXXXX0013,25,5,250000.00,218000.00,2021-10-30,2026-10-31,Active,30
14,4532XXXXXXXX0014,27,2,100000.00,82000.00,2024-03-22,2029-03-31,Active,22
15,4532XXXXXXXX0015,29,1,80000.00,65000.00,2023-08-15,2028-08-31,Active,15
16,4532XXXXXXXX0016,31,6,450000.00,398000.00,2021-01-10,2026-01-31,Active,10
17,4532XXXXXXXX0017,33,8,280000.00,245000.00,2022-06-28,2027-06-30,Active,28
18,4532XXXXXXXX0018,35,4,150000.00,125000.00,2024-09-05,2029-09-30,Active,5
19,4532XXXXXXXX0019,37,5,220000.00,192000.00,2021-04-18,2026-04-30,Active,18
20,4532XXXXXXXX0020,39,2,130000.00,108000.00,2023-11-25,2028-11-30,Active,25
21,4532XXXXXXXX0021,41,6,520000.00,468000.00,2020-08-08,2025-08-31,Active,8
22,4532XXXXXXXX0022,43,7,1200000.00,1085000.00,2019-03-15,2029-03-31,Active,15
23,4532XXXXXXXX0023,45,5,280000.00,242000.00,2022-10-22,2027-10-31,Active,22
24,4532XXXXXXXX0024,47,3,110000.00,92000.00,2024-05-12,2029-05-31,Active,12
25,4532XXXXXXXX0025,49,8,380000.00,335000.00,2021-12-30,2026-12-31,Active,30
26,4532XXXXXXXX0026,51,5,195000.00,168000.00,2022-02-20,2027-02-28,Active,20
